S 1111
W 26861 19
R 26861 19
W 17823 7
R 17823 7
W 54452 3
R 54452 3
W 29046 10
R 29046 10
W 49825 22
R 49825 22
W 42089 6
R 42089 6
W 33339 22
R 33339 22
W 24810 4
R 24810 4
W 21442 20
R 21442 20
W 48558 21
R 48558 21
W 39816 5
R 39816 5
W 16836 25
R 16836 25
W 51180 16
R 51180 16
W 12950 30
R 12950 30
W 28340 13
R 28340 13
W 49484 5
R 49484 5
W 13865 22
R 13865 22
W 37925 29
R 37925 29
W 53418 3
R 53418 3
W 46589 3
R 46589 3
W 41197 9
R 41197 9
W 34379 7
R 34379 7
W 35954 15
R 35954 15
W 32653 4
R 32653 4
W 32443 31
R 32443 31
W 14337 23
R 14337 23
W 42317 10
R 42317 10
W 3338 8
R 3338 8
W 3029 15
R 3029 15
W 43731 30
R 43731 30
W 51434 9
R 51434 9
W 12842 26
R 12842 26
W 29450 12
R 29450 12
W 2544 20
R 2544 20
W 52204 27
R 52204 27
W 5887 31
R 5887 31
W 14931 25
R 14931 25
W 36865 29
R 36865 29
W 25728 11
R 25728 11
W 34553 7
R 34553 7
W 36042 21
R 36042 21
W 56703 11
R 56703 11
W 14528 12
R 14528 12
W 40785 23
R 40785 23
W 10794 21
R 10794 21
W 32542 19
R 32542 19
W 46659 19
R 46659 19
W 53799 25
R 53799 25
W 30616 4
R 30616 4
W 27905 8
R 27905 8
W 39940 30
R 39940 30
W 45149 29
R 45149 29
W 330 8
R 330 8
W 40220 27
R 40220 27
W 36845 24
R 36845 24
W 10503 28
R 10503 28
W 784 28
R 784 28
W 28367 11
R 28367 11
W 53520 24
R 53520 24
W 16485 31
R 16485 31
W 22596 18
R 22596 18
W 52814 8
R 52814 8
W 37067 28
R 37067 28
W 14292 2
R 14292 2
W 40076 9
R 40076 9
W 27624 25
R 27624 25
W 2261 12
R 2261 12
W 12007 25
R 12007 25
W 40100 12
R 40100 12
W 20458 6
R 20458 6
W 4120 19
R 4120 19
W 26953 13
R 26953 13
W 24440 8
R 24440 8
W 3832 20
R 3832 20
W 1592 20
R 1592 20
W 11202 10
R 11202 10
W 12000 1
R 12000 1
W 19715 9
R 19715 9
W 55941 15
R 55941 15
W 43024 23
R 43024 23
W 51628 12
R 51628 12
W 53153 23
R 53153 23
W 20542 4
R 20542 4
W 48288 9
R 48288 9
W 51851 3
R 51851 3
W 6516 16
R 6516 16
W 17788 10
R 17788 10
W 36300 1
R 36300 1
W 23253 16
R 23253 16
W 46460 14
R 46460 14
W 3106 3
R 3106 3
W 24457 8
R 24457 8
W 56142 6
R 56142 6
W 47790 28
R 47790 28
W 4451 23
R 4451 23
W 19684 7
R 19684 7
W 38583 1
R 38583 1
W 44432 24
R 44432 24
W 6925 12
R 6925 12
W 37848 14
R 37848 14
W 22204 9
R 22204 9
W 32828 30
R 32828 30
W 4106 23
R 4106 23
W 8493 2
R 8493 2
W 51916 17
R 51916 17
W 35821 9
R 35821 9
W 38888 5
R 38888 5
W 53745 20
R 53745 20
W 38915 1
R 38915 1
W 18698 24
R 18698 24
W 12126 31
R 12126 31
W 25718 25
R 25718 25
W 37492 24
R 37492 24
W 36106 2
R 36106 2
W 23608 14
R 23608 14
W 29466 13
R 29466 13
W 44592 10
R 44592 10
W 20268 6
R 20268 6
W 16734 6
R 16734 6
W 2330 5
R 2330 5
W 18179 20
R 18179 20
W 49945 7
R 49945 7
W 32895 30
R 32895 30
W 29217 27
R 29217 27
W 25001 7
R 25001 7
W 41449 18
R 41449 18
W 20762 14
R 20762 14
W 22300 5
R 22300 5
W 6247 24
R 6247 24
W 37135 7
R 37135 7
W 9482 17
R 9482 17
W 10131 21
R 10131 21
W 6015 23
R 6015 23
W 29044 26
R 29044 26
W 50969 29
R 50969 29
W 17672 16
R 17672 16
W 12183 11
R 12183 11
W 52487 5
R 52487 5
W 48427 12
R 48427 12
W 34968 3
R 34968 3
W 6740 15
R 6740 15
W 53212 21
R 53212 21
W 12514 27
R 12514 27
W 12028 2
R 12028 2
W 2847 28
R 2847 28
W 40424 18
R 40424 18
W 42037 22
R 42037 22
W 50019 8
R 50019 8
W 15418 31
R 15418 31
W 5266 8
R 5266 8
W 53095 29
R 53095 29
W 4463 11
R 4463 11
W 25019 9
R 25019 9
W 28436 12
R 28436 12
W 15775 10
R 15775 10
W 32186 4
R 32186 4
W 16942 1
R 16942 1
W 33633 20
R 33633 20
W 21647 15
R 21647 15
W 40025 11
R 40025 11
W 21096 24
R 21096 24
W 28632 22
R 28632 22
W 16316 2
R 16316 2
W 45650 27
R 45650 27
W 34835 28
R 34835 28
W 32586 26
R 32586 26
W 126 24
R 126 24
W 13944 28
R 13944 28
W 20272 15
R 20272 15
W 33055 19
R 33055 19
W 40249 17
R 40249 17
W 42178 15
R 42178 15
W 11376 12
R 11376 12
W 21112 10
R 21112 10
W 47744 20
R 47744 20
W 173 4
R 173 4
W 26899 15
R 26899 15
W 902 26
R 902 26
W 25537 21
R 25537 21
W 9414 13
R 9414 13
W 15548 20
R 15548 20
W 17231 6
R 17231 6
W 54475 8
R 54475 8
W 32627 10
R 32627 10
W 8020 3
R 8020 3
W 37067 14
R 37067 14
W 57196 15
R 57196 15
W 39924 4
R 39924 4
W 23985 27
R 23985 27
W 44251 19
R 44251 19
W 7486 30
R 7486 30
W 1306 26
R 1306 26
W 48654 14
R 48654 14
W 12064 26
R 12064 26
W 32377 6
R 32377 6
W 3491 16
R 3491 16
W 47096 10
R 47096 10
W 55408 3
R 55408 3
W 35514 17
R 35514 17
W 53438 7
R 53438 7
W 22646 5
R 22646 5
W 26267 7
R 26267 7
W 38679 12
R 38679 12
W 25534 13
R 25534 13
W 4348 18
R 4348 18
W 3321 21
R 3321 21
W 40482 18
R 40482 18
W 29835 26
R 29835 26
W 55989 1
R 55989 1
W 32255 27
R 32255 27
W 46994 22
R 46994 22
W 5220 28
R 5220 28
W 48277 26
R 48277 26
W 15437 18
R 15437 18
W 17593 7
R 17593 7
W 4445 27
R 4445 27
W 28309 10
R 28309 10
W 46354 26
R 46354 26
W 23175 8
R 23175 8
W 6772 26
R 6772 26
W 18794 3
R 18794 3
W 22973 9
R 22973 9
W 6530 27
R 6530 27
W 17340 13
R 17340 13
W 20980 18
R 20980 18
W 11621 31
R 11621 31
W 19805 15
R 19805 15
W 30993 6
R 30993 6
W 11935 24
R 11935 24
W 20801 17
R 20801 17
W 41578 13
R 41578 13
W 53383 8
R 53383 8
W 39574 10
R 39574 10
W 13996 8
R 13996 8
W 48746 5
R 48746 5
W 16545 10
R 16545 10
W 22671 15
R 22671 15
W 53088 20
R 53088 20
W 10407 18
R 10407 18
W 17992 2
R 17992 2
W 46295 6
R 46295 6
W 25634 11
R 25634 11
W 38263 29
R 38263 29
W 3111 24
R 3111 24
W 37521 4
R 37521 4
W 5998 18
R 5998 18
W 49159 19
R 49159 19
W 17916 3
R 17916 3
W 28047 22
R 28047 22
W 20411 12
R 20411 12
W 52681 10
R 52681 10
W 13261 28
R 13261 28
W 51900 7
R 51900 7
W 30825 27
R 30825 27
W 13897 14
R 13897 14
W 19967 25
R 19967 25
W 4703 30
R 4703 30
W 3413 4
R 3413 4
W 36692 19
R 36692 19
W 27629 12
R 27629 12
W 30436 3
R 30436 3
W 22241 5
R 22241 5
W 11089 18
R 11089 18
W 29065 14
R 29065 14
W 55686 13
R 55686 13
W 42202 30
R 42202 30
W 4513 13
R 4513 13
W 52648 8
R 52648 8
W 56277 11
R 56277 11
W 44993 10
R 44993 10
W 9411 1
R 9411 1
W 56639 11
R 56639 11
W 53217 5
R 53217 5
W 48888 21
R 48888 21
W 50192 6
R 50192 6
W 33050 10
R 33050 10
W 36417 28
R 36417 28
W 20960 25
R 20960 25
W 21721 17
R 21721 17
W 12915 20
R 12915 20
W 33966 30
R 33966 30
W 5551 16
R 5551 16
W 36854 14
R 36854 14
W 21165 27
R 21165 27
W 18792 27
R 18792 27
W 32234 13
R 32234 13
W 16430 6
R 16430 6
W 34125 23
R 34125 23
W 9662 2
R 9662 2
W 28484 29
R 28484 29
W 28459 10
R 28459 10
W 17604 13
R 17604 13
W 43098 16
R 43098 16
W 38655 20
R 38655 20
W 23054 11
R 23054 11
W 19347 29
R 19347 29
W 32960 22
R 32960 22
W 21771 19
R 21771 19
W 17561 5
R 17561 5
W 40066 24
R 40066 24
W 43558 17
R 43558 17
W 48173 22
R 48173 22
W 30102 26
R 30102 26
W 55907 30
R 55907 30
W 34241 22
R 34241 22
W 34084 2
R 34084 2
W 14854 29
R 14854 29
W 53849 4
R 53849 4
W 16524 19
R 16524 19
W 49044 12
R 49044 12
W 21194 27
R 21194 27
W 22870 7
R 22870 7
W 27754 20
R 27754 20
W 1089 19
R 1089 19
W 13850 6
R 13850 6
W 7942 20
R 7942 20
W 47920 13
R 47920 13
W 51861 11
R 51861 11
W 7342 21
R 7342 21
W 44059 2
R 44059 2
W 52896 31
R 52896 31
W 38748 7
R 38748 7
W 6951 14
R 6951 14
W 51975 10
R 51975 10
W 4877 29
R 4877 29
W 54862 27
R 54862 27
W 46531 28
R 46531 28
W 14690 8
R 14690 8
W 40455 21
R 40455 21
W 37682 4
R 37682 4
W 48743 3
R 48743 3
W 46178 15
R 46178 15
W 36203 29
R 36203 29
W 35422 20
R 35422 20
W 9201 30
R 9201 30
W 19593 22
R 19593 22
W 42937 20
R 42937 20
W 56120 24
R 56120 24
W 19866 6
R 19866 6
W 56980 29
R 56980 29
W 20698 19
R 20698 19
W 42623 25
R 42623 25
W 1160 20
R 1160 20
W 2252 28
R 2252 28
W 56709 22
R 56709 22
W 30384 2
R 30384 2
W 28214 17
R 28214 17
W 13700 5
R 13700 5
W 43531 6
R 43531 6
W 34235 27
R 34235 27
W 5724 12
R 5724 12
W 41101 1
R 41101 1
W 30250 12
R 30250 12
W 16629 29
R 16629 29
W 16900 22
R 16900 22
W 9324 18
R 9324 18
W 5229 15
R 5229 15
W 22909 21
R 22909 21
W 43725 7
R 43725 7
W 39812 12
R 39812 12
W 7751 12
R 7751 12
W 17471 18
R 17471 18
W 15687 27
R 15687 27
W 18462 8
R 18462 8
W 6566 11
R 6566 11
W 38222 1
R 38222 1
W 24607 18
R 24607 18
W 44567 17
R 44567 17
W 45473 23
R 45473 23
W 39438 13
R 39438 13
W 11927 5
R 11927 5
W 18053 19
R 18053 19
W 43366 5
R 43366 5
W 15353 20
R 15353 20
W 8779 22
R 8779 22
W 56454 5
R 56454 5
W 51633 9
R 51633 9
W 36111 28
R 36111 28
W 39561 10
R 39561 10
W 44619 1
R 44619 1
W 41735 5
R 41735 5
W 50226 8
R 50226 8
W 31094 31
R 31094 31
W 55664 17
R 55664 17
W 24919 3
R 24919 3
W 7869 30
R 7869 30
W 29177 23
R 29177 23
W 45810 24
R 45810 24
W 9540 20
R 9540 20
W 28563 4
R 28563 4
W 42600 8
R 42600 8
W 18465 9
R 18465 9
W 36063 27
R 36063 27
W 22290 18
R 22290 18
W 43614 5
R 43614 5
W 56216 23
R 56216 23
W 26872 15
R 26872 15
W 20620 26
R 20620 26
W 12821 20
R 12821 20
W 11653 2
R 11653 2
W 56698 5
R 56698 5
W 9050 27
R 9050 27
W 37253 12
R 37253 12
W 27348 21
R 27348 21
W 50487 28
R 50487 28
W 48729 7
R 48729 7
W 9857 28
R 9857 28
W 48056 21
R 48056 21
W 48043 16
R 48043 16
W 56008 26
R 56008 26
W 14377 19
R 14377 19
W 45935 24
R 45935 24
W 30252 15
R 30252 15
W 41871 15
R 41871 15
W 28151 24
R 28151 24
W 15277 22
R 15277 22
W 7511 9
R 7511 9
W 39653 20
R 39653 20
W 13651 2
R 13651 2
W 17831 17
R 17831 17
W 49185 28
R 49185 28
W 17961 3
R 17961 3
W 10875 2
R 10875 2
W 39426 14
R 39426 14
W 13484 23
R 13484 23
W 19504 1
R 19504 1
W 19243 23
R 19243 23
W 11766 11
R 11766 11
W 9114 8
R 9114 8
W 27032 6
R 27032 6
W 25242 3
R 25242 3
W 40195 24
R 40195 24
W 50252 11
R 50252 11
W 3790 28
R 3790 28
W 15778 18
R 15778 18
W 46121 9
R 46121 9
W 22646 31
R 22646 31
W 9317 5
R 9317 5
W 7220 29
R 7220 29
W 18712 12
R 18712 12
W 13105 24
R 13105 24
W 40374 30
R 40374 30
W 29928 3
R 29928 3
W 16308 17
R 16308 17
W 23858 30
R 23858 30
W 51732 5
R 51732 5
W 20114 14
R 20114 14
W 8125 10
R 8125 10
W 48896 9
R 48896 9
W 3198 2
R 3198 2
W 33537 17
R 33537 17
W 14949 7
R 14949 7
W 47866 18
R 47866 18
W 24169 11
R 24169 11
W 56625 23
R 56625 23
W 2063 1
R 2063 1
W 7370 2
R 7370 2
W 36543 26
R 36543 26
W 12657 6
R 12657 6
W 10806 8
R 10806 8
W 30657 30
R 30657 30
W 11887 31
R 11887 31
W 31586 9
R 31586 9
W 47410 2
R 47410 2
W 23737 13
R 23737 13
W 22276 7
R 22276 7
W 34393 10
R 34393 10
W 39730 9
R 39730 9
W 45107 19
R 45107 19
W 6274 6
R 6274 6
W 33052 9
R 33052 9
W 40390 23
R 40390 23
W 26198 3
R 26198 3
W 12186 9
R 12186 9
W 56058 25
R 56058 25
W 1643 7
R 1643 7
W 19994 26
R 19994 26
W 6414 31
R 6414 31
W 25351 13
R 25351 13
W 9182 15
R 9182 15
W 30706 30
R 30706 30
W 32635 18
R 32635 18
W 3147 31
R 3147 31
W 16286 28
R 16286 28
W 13384 12
R 13384 12
W 18914 27
R 18914 27
W 14513 6
R 14513 6
W 21323 27
R 21323 27
W 5167 30
R 5167 30
W 14031 13
R 14031 13
W 48309 17
R 48309 17
W 25060 9
R 25060 9
W 21012 20
R 21012 20
W 54348 10
R 54348 10
W 19763 5
R 19763 5
W 29916 21
R 29916 21
W 21261 10
R 21261 10
W 50032 7
R 50032 7
W 12036 31
R 12036 31
W 56279 24
R 56279 24
W 15151 3
R 15151 3
W 6321 29
R 6321 29
W 11619 2
R 11619 2
W 53992 13
R 53992 13
W 52962 22
R 52962 22
W 12475 19
R 12475 19
W 18161 10
R 18161 10
W 46695 16
R 46695 16
W 11665 2
R 11665 2
W 20002 26
R 20002 26
W 25311 11
R 25311 11
W 16362 4
R 16362 4
W 38742 20
R 38742 20
W 13637 25
R 13637 25
W 1642 11
R 1642 11
W 18855 27
R 18855 27
W 22231 2
R 22231 2
W 21882 16
R 21882 16
W 44628 13
R 44628 13
W 34252 30
R 34252 30
W 21018 19
R 21018 19
W 18638 8
R 18638 8
W 18726 11
R 18726 11
W 4626 23
R 4626 23
W 27113 10
R 27113 10
W 45436 13
R 45436 13
W 818 30
R 818 30
W 41653 7
R 41653 7
W 54466 24
R 54466 24
W 24803 3
R 24803 3
W 51479 14
R 51479 14
W 56517 11
R 56517 11
W 52450 18
